iter	Logloss
0	0.6215462663
1	0.561757459
2	0.5142450092
3	0.4740065203
4	0.4426191739
5	0.4170697139
6	0.3932554969
7	0.3759312191
8	0.3606139024
9	0.3484705031
10	0.3393958278
11	0.3304964479
12	0.3227155435
13	0.3165761064
14	0.3112300721
15	0.3067154067
16	0.3032551934
17	0.2985757061
18	0.2955623989
19	0.2928697421
20	0.2912004929
21	0.2891924755
22	0.2869289542
23	0.2848902826
24	0.2835768269
25	0.282218642
26	0.2811878622
27	0.2802712142
28	0.2791042385
29	0.2781191504
30	0.277537441
31	0.2766525908
32	0.2759453792
33	0.2755189351
34	0.2750065341
35	0.2741430206
36	0.2738388907
37	0.2734613001
38	0.2732221512
39	0.2729615622
40	0.2722560039
41	0.2719580864
42	0.2717274024
43	0.2715019832
44	0.2709553003
45	0.2706404777
46	0.2704391895
47	0.2700595833
48	0.2696531515
49	0.2693931938
50	0.2692553433
51	0.2688716038
52	0.2685718809
53	0.2683214678
54	0.2682308571
55	0.268099007
56	0.2679277464
57	0.2676941128
58	0.2676032725
59	0.2674709513
60	0.2672494494
61	0.2671668027
62	0.2670513964
63	0.2669217661
64	0.2667967572
65	0.2666801457
66	0.2665202825
67	0.2663427983
68	0.2661590187
69	0.2660562313
70	0.2659370039
71	0.2659070565
72	0.26580076
73	0.2656463073
74	0.265591436
75	0.2655276016
76	0.2654725715
77	0.2653754164
78	0.2652969987
79	0.2651952841
80	0.2651103392
81	0.2648873707
82	0.2647259407
83	0.2646921159
84	0.2646221091
85	0.2643675113
86	0.2642052736
87	0.2641380289
88	0.2640373367
89	0.2639465893
90	0.2638581575
91	0.2637584584
92	0.2635789547
93	0.2635081494
94	0.2634323903
95	0.2633552374
96	0.2633080487
97	0.2632391772
98	0.2631662699
99	0.2630902683
100	0.2630135749
101	0.2629564194
102	0.2629104122
103	0.2628250349
104	0.2626953913
105	0.2626409699
106	0.2626399038
107	0.2626101242
108	0.2625140415
109	0.2625136749
110	0.2624309033
111	0.2623732227
112	0.2623118078
113	0.2622575979
114	0.2622157261
115	0.2621593693
116	0.2621015043
117	0.2619655386
118	0.261900847
119	0.2618575289
120	0.2618298426
121	0.2617246825
122	0.2617146557
123	0.2617028038
124	0.2616760171
125	0.2616558561
126	0.2615716089
127	0.261507991
128	0.261459252
129	0.2614028395
130	0.2613637672
131	0.261316629
132	0.2613160596
133	0.2612286427
134	0.2612083098
135	0.2611708445
136	0.2611253253
137	0.2610839185
138	0.2609992071
139	0.2609263039
140	0.2608745319
141	0.2608490314
142	0.2608350503
143	0.260779484
144	0.2607236669
145	0.2606354988
146	0.2605774707
147	0.2605697303
148	0.2605555644
149	0.2605180133
150	0.2604822069
151	0.260450831
152	0.2604448528
153	0.2603988022
154	0.2602997352
155	0.2602711183
156	0.2601723461
157	0.2601679049
158	0.2600968794
159	0.2600547846
160	0.2600125125
161	0.259960912
162	0.2598480315
163	0.259800277
164	0.259790861
165	0.2597763601
166	0.2597391429
167	0.2596863725
168	0.2596315775
169	0.2595805058
170	0.2595633167
171	0.2594771225
172	0.2594720444
173	0.2594321444
174	0.2593613548
175	0.2593500295
176	0.2593413946
177	0.2593169203
178	0.259274397
179	0.2592398429
180	0.259230304
181	0.2591515376
182	0.2591292842
183	0.2590828897
184	0.2590444172
185	0.2590269245
186	0.2589820196
187	0.2589396251
188	0.2588644957
189	0.2588359685
190	0.2587718846
191	0.2587402634
192	0.2586999773
193	0.2586647509
194	0.2586358077
195	0.2585611819
196	0.2585460469
197	0.2585390787
198	0.2584890318
199	0.2584730963
200	0.2584408397
201	0.2583894769
202	0.2583468718
203	0.2583099901
204	0.2582836428
205	0.2582547715
206	0.2582186072
207	0.2581860908
208	0.2581714263
209	0.2581662532
210	0.2581627714
211	0.2581448088
212	0.2580692329
213	0.2580521055
214	0.2580210315
215	0.2579686336
216	0.2579509155
217	0.2579199754
218	0.2579042618
219	0.2578589408
220	0.2578430402
221	0.2577943361
222	0.2577913162
223	0.2577759892
224	0.2577041653
225	0.2576971683
226	0.2576617319
227	0.2576511062
228	0.2576200973
229	0.2575851295
230	0.2575423466
231	0.2575081416
232	0.2574691197
233	0.2574336869
234	0.2574309197
235	0.2574047159
236	0.2573559542
237	0.2573360527
238	0.2573209685
239	0.2572704624
240	0.2572367365
241	0.2572320054
242	0.2571877107
243	0.2571607797
244	0.2571223821
245	0.2570833523
246	0.2570489697
247	0.2570153482
248	0.2569994273
249	0.2569509907
250	0.2569341127
251	0.256903453
252	0.2568955029
253	0.2568007073
254	0.2567402391
255	0.2567349009
256	0.256714747
257	0.2566677907
258	0.2566257862
259	0.2566125918
260	0.2565543268
261	0.2565108059
262	0.2564853874
263	0.2564628619
264	0.2563979699
265	0.2563957267
266	0.2563794303
267	0.256334033
268	0.2563272905
269	0.2562793201
270	0.2562597659
271	0.2562162405
272	0.2561811604
273	0.2561234162
274	0.2560827859
275	0.2560254519
276	0.2559946815
277	0.2559231238
278	0.2558973043
279	0.2558655835
280	0.2558552232
281	0.2557958438
282	0.2557701755
283	0.2557506779
284	0.2557249516
285	0.2556957759
286	0.2556688558
287	0.2556434724
288	0.2556155267
289	0.2555716721
290	0.2555383115
291	0.2555287042
292	0.2555072619
293	0.2554664799
294	0.2554481467
295	0.2554472996
296	0.2554141652
297	0.2553840982
298	0.2553431202
