,temporada_alta,dif_min,atraso_15,periodo_dia
0,1,3.0,0,Noche
1,1,9.0,0,Noche
2,1,9.0,0,Noche
3,1,3.0,0,Noche
4,1,-2.0,0,Noche
5,1,34.0,1,Noche
6,1,-5.0,0,Noche
7,1,-5.0,0,Noche
8,1,40.0,1,Noche
9,1,69.0,1,Noche
10,1,-9.0,0,Noche
11,1,14.0,0,Noche
12,1,-7.0,0,Noche
13,1,-4.0,0,Noche
14,1,-11.0,0,Noche
15,1,-9.0,0,Noche
16,1,-9.0,0,Noche
17,1,-12.0,0,Noche
18,1,15.0,0,Noche
19,1,-2.0,0,Noche
20,1,2.0,0,Noche
21,1,8.0,0,Noche
22,1,-5.0,0,Noche
23,1,52.0,1,Noche
24,1,-5.0,0,Noche
25,1,0.0,0,Noche
26,1,26.0,1,Noche
27,1,-3.0,0,Noche
28,1,-5.0,0,Noche
29,1,2.0,0,Noche
30,1,2.0,0,Noche
31,1,-7.0,0,Noche
32,1,-1.0,0,Noche
33,1,5.0,0,Noche
34,1,-4.0,0,Noche
35,1,1.0,0,Noche
36,1,-5.0,0,Noche
37,1,3.0,0,Noche
38,1,-2.0,0,Noche
39,1,-4.0,0,Noche
40,1,-6.0,0,Noche
41,1,4.0,0,Noche
42,1,-4.0,0,Noche
43,1,-4.0,0,Noche
44,1,-9.0,0,Noche
45,1,-10.0,0,Noche
46,1,0.0,0,Noche
47,1,-2.0,0,Noche
48,1,1.0,0,Noche
49,1,-4.0,0,Noche
50,1,10.0,0,Noche
51,1,20.0,1,Noche
52,1,11.0,0,Noche
53,1,24.0,1,Noche
54,1,-5.0,0,Noche
55,1,-7.0,0,Noche
56,1,14.0,0,Noche
57,1,5.0,0,Noche
58,1,0.0,0,Noche
59,1,25.0,1,Noche
60,1,1.0,0,Noche
61,1,0.0,0,Noche
62,1,-4.0,0,Noche
63,1,13.0,0,Noche
64,1,-3.0,0,Noche
65,1,2.0,0,Noche
66,1,-5.0,0,Noche
67,1,0.0,0,Noche
68,1,-2.0,0,Noche
69,1,3.0,0,Noche
70,1,-9.0,0,Noche
71,1,5.0,0,Noche
72,1,-3.0,0,Noche
73,1,-4.0,0,Noche
74,1,-10.0,0,Noche
75,1,-9.0,0,Noche
76,1,62.0,1,Noche
77,1,2.0,0,Noche
78,1,-8.0,0,Noche
79,1,19.0,1,Tarde
80,1,60.0,1,Tarde
81,1,17.0,1,Tarde
82,1,26.0,1,Tarde
83,1,14.0,0,Tarde
84,1,67.0,1,Tarde
85,1,84.0,1,Tarde
86,1,63.0,1,Tarde
87,1,97.0,1,Tarde
88,1,17.0,1,Tarde
89,1,90.0,1,Tarde
90,1,130.0,1,Tarde
91,1,24.0,1,Tarde
92,1,77.0,1,Tarde
93,1,32.0,1,Tarde
94,1,39.0,1,Tarde
95,1,48.0,1,Tarde
96,1,6.0,0,Tarde
97,1,2.0,0,Tarde
98,1,28.0,1,Tarde
99,1,11.0,0,Tarde
100,1,33.0,1,Tarde
101,1,69.0,1,Tarde
102,1,20.0,1,Tarde
103,1,3.0,0,Tarde
104,1,22.0,1,Tarde
105,1,21.0,1,Tarde
106,1,22.0,1,Tarde
107,1,27.0,1,Tarde
108,1,6.0,0,Tarde
109,1,20.0,1,Noche
110,1,17.0,1,Noche
111,1,19.0,1,Noche
112,1,47.0,1,Noche
113,1,5.0,0,Noche
114,1,63.0,1,Noche
115,1,55.0,1,Noche
116,1,53.0,1,Noche
117,1,105.0,1,Noche
118,1,20.0,1,Noche
119,1,72.0,1,Noche
120,1,26.0,1,Noche
121,1,99.0,1,Noche
122,1,52.0,1,Noche
123,1,33.0,1,Noche
124,1,147.0,1,Noche
125,1,18.0,1,Noche
126,1,25.0,1,Noche
127,1,5.0,0,Noche
128,1,21.0,1,Noche
129,1,13.0,0,Noche
130,1,21.0,1,Noche
131,1,11.0,0,Noche
132,1,-4.0,0,Noche
133,1,-1.0,0,Noche
134,1,8.0,0,Noche
135,1,6.0,0,Noche
136,1,-4.0,0,Noche
137,1,6.0,0,Noche
138,1,-4.0,0,Tarde
139,1,0.0,0,Tarde
140,1,3.0,0,Tarde
141,1,-1.0,0,Tarde
142,1,-10.0,0,Tarde
143,1,16.0,1,Tarde
144,1,-1.0,0,Tarde
145,1,1.0,0,Tarde
146,1,14.0,0,Tarde
147,1,8.0,0,Tarde
148,1,7.0,0,Tarde
149,1,7.0,0,Tarde
150,1,5.0,0,Tarde
151,1,17.0,1,Tarde
152,1,1.0,0,Tarde
153,1,12.0,0,Tarde
154,1,-3.0,0,Tarde
155,1,33.0,1,Tarde
156,1,6.0,0,Tarde
157,1,-4.0,0,Tarde
158,1,8.0,0,Tarde
159,1,7.0,0,Tarde
160,1,-1.0,0,Tarde
161,1,3.0,0,Tarde
162,1,-7.0,0,Tarde
163,1,12.0,0,Tarde
164,1,-2.0,0,Tarde
165,1,7.0,0,Tarde
166,1,14.0,0,Tarde
167,1,14.0,0,Tarde
168,1,-5.0,0,Tarde
169,1,-11.0,0,Noche
170,1,13.0,0,Noche
171,1,-2.0,0,Noche
172,1,-12.0,0,Noche
173,1,7.0,0,Noche
174,1,-1.0,0,Noche
175,1,14.0,0,Noche
176,1,-7.0,0,Noche
177,1,-6.0,0,Noche
178,1,0.0,0,Noche
179,1,-3.0,0,Noche
180,1,-9.0,0,Noche
181,1,-4.0,0,Noche
182,1,-2.0,0,Noche
183,1,-7.0,0,Noche
184,1,-3.0,0,Noche
185,1,1.0,0,Noche
186,1,4.0,0,Noche
187,1,-9.0,0,Noche
188,1,138.0,1,Noche
189,1,-1.0,0,Noche
190,1,-13.0,0,Noche
191,1,-11.0,0,Noche
192,1,-11.0,0,Noche
193,1,-9.0,0,Noche
194,1,-7.0,0,Noche
195,1,-5.0,0,Noche
196,1,-1.0,0,Noche
197,1,-2.0,0,Noche
198,1,13.0,0,Noche
199,1,-9.0,0,Noche
200,1,-1.0,0,Noche
201,1,-10.0,0,Mañana
202,1,2.0,0,Mañana
203,1,-2.0,0,Mañana
204,1,31.0,1,Mañana
205,1,18.0,1,Mañana
206,1,-13.0,0,Mañana
207,1,-6.0,0,Mañana
208,1,0.0,0,Mañana
209,1,20.0,1,Mañana
210,1,8.0,0,Mañana
211,1,11.0,0,Mañana
212,1,-8.0,0,Mañana
213,1,88.0,1,Mañana
214,1,17.0,1,Mañana
215,1,27.0,1,Mañana
216,1,2.0,0,Mañana
217,1,1.0,0,Mañana
218,1,33.0,1,Mañana
219,1,11.0,0,Mañana
220,1,2.0,0,Mañana
221,1,10.0,0,Mañana
222,1,-5.0,0,Mañana
223,1,-1.0,0,Mañana
224,1,-12.0,0,Mañana
225,1,-5.0,0,Mañana
226,1,-3.0,0,Mañana
227,1,-10.0,0,Mañana
228,1,3.0,0,Mañana
229,1,1.0,0,Mañana
230,1,1.0,0,Mañana
231,1,35.0,1,Mañana
232,1,-11.0,0,Mañana
233,1,-11.0,0,Mañana
234,1,-10.0,0,Mañana
235,1,6.0,0,Mañana
236,1,14.0,0,Mañana
237,1,-7.0,0,Mañana
238,1,-11.0,0,Mañana
239,1,0.0,0,Mañana
240,1,5.0,0,Mañana
241,1,18.0,1,Mañana
242,1,-8.0,0,Mañana
243,1,-1.0,0,Mañana
244,1,-11.0,0,Mañana
245,1,17.0,1,Mañana
246,1,15.0,0,Mañana
247,1,1.0,0,Mañana
248,1,-4.0,0,Mañana
249,1,30.0,1,Mañana
250,1,-13.0,0,Mañana
251,1,-4.0,0,Mañana
252,1,-5.0,0,Mañana
253,1,-6.0,0,Mañana
254,1,-7.0,0,Tarde
255,1,5.0,0,Tarde
